# index,name,course,cluster,sex,prosocial,crttotal,_pos
81,701,1,D,Male,0.666666667,0.999999999,"array([2.19325103, 4.74701499])"
82,705,1,B,Male,1.0,0.999999999,"array([2.26065665, 4.73138265])"
83,714,1,B,Male,1.0,0.999999999,"array([2.23793482, 4.73414096])"
84,719,1,B,Female,1.0,0.999999999,"array([2.24035982, 4.7007583 ])"
85,720,1,B,Female,0.333333333,2.000000001,"array([2.26958334, 4.7031775 ])"
86,732,1,B,Male,1.0,2.000000001,"array([2.26280074, 4.74260272])"
87,739,1,B,Male,0.333333333,2.000000001,"array([2.26496842, 4.71305181])"
88,746,1,B,Male,0.666666667,0.999999999,"array([2.23586252, 4.70818637])"
89,738,1,D,Male,1.0,2.000000001,"array([2.17793764, 4.72181354])"
90,754,1,B,Female,0.666666667,0.0,"array([2.27245987, 4.72666538])"
91,758,1,B,Female,0.666666667,0.0,"array([2.29113168, 4.71050433])"
92,770,1,B,Female,0.666666667,0.999999999,"array([2.25232437, 4.73963428])"
93,764,1,C,Female,1.0,2.000000001,"array([2.2123733 , 4.69336933])"
94,767,1,B,Male,0.666666667,0.999999999,"array([2.27338228, 4.68898813])"
95,766,1,B,Female,1.0,0.999999999,"array([2.25445465, 4.71141147])"
96,773,1,B,Female,1.0,2.000000001,"array([2.23307263, 4.71521509])"
97,784,1,B,Female,0.666666667,2.000000001,"array([2.24403888, 4.73115283])"
98,779,1,B,Male,1.0,0.0,"array([2.24307014, 4.7107329 ])"
99,777,1,B,Male,0.666666667,0.999999999,"array([2.26570808, 4.72163052])"
100,791,1,D,Male,1.0,2.000000001,"array([2.18576062, 4.72518477])"
101,789,1,B,Male,1.0,0.999999999,"array([2.25650576, 4.72186483])"
102,803,1,B,Female,1.0,0.0,"array([2.23982256, 4.72010174])"
103,813,1,B,Male,0.666666667,3.0,"array([2.28135133, 4.71944354])"
104,810,1,B,Female,0.333333333,2.000000001,"array([2.2624934 , 4.69115077])"
105,818,1,B,Female,1.0,0.999999999,"array([2.24644739, 4.72307348])"
106,826,1,B,Male,1.0,2.000000001,"array([2.24792932, 4.71510448])"
107,827,1,B,Male,0.0,0.999999999,"array([2.27458285, 4.71152254])"
108,863,2,D,Female,0.666666667,3.0,"array([2.24471722, 4.76925488])"
109,706,1,D,Male,1.0,0.999999999,"array([2.18317801, 4.75630219])"
110,850,2,A,Male,0.666666667,0.999999999,"array([2.27209598, 4.75561308])"
111,852,2,C,Male,0.666666667,3.0,"array([2.23573601, 4.81583552])"
112,925,2,B,Female,0.666666667,0.999999999,"array([2.29953531, 4.74826984])"
113,697,1,D,Male,0.666666667,2.000000001,"array([2.17327618, 4.74917923])"
114,800,1,D,Male,0.666666667,0.999999999,"array([2.15741987, 4.76431659])"
115,695,1,D,Male,1.0,0.999999999,"array([2.17849527, 4.76812894])"
116,707,1,D,Female,1.0,0.999999999,"array([2.13452193, 4.73891645])"
117,744,1,D,Male,0.333333333,2.000000001,"array([2.17569609, 4.73416618])"
118,752,1,D,Male,,,"array([2.15282981, 4.73198559])"
119,781,1,D,Male,0.666666667,0.999999999,"array([2.20105636, 4.75319892])"
120,793,1,D,Female,,,"array([2.13212413, 4.75005323])"
121,821,1,D,Male,1.0,0.0,"array([2.14076248, 4.76203104])"
122,736,1,D,Female,1.0,0.0,"array([2.16690332, 4.75983939])"
123,743,1,D,Female,0.666666667,2.000000001,"array([2.1631359 , 4.72443637])"
124,742,1,D,Female,,,"array([2.15638428, 4.77885303])"
125,763,1,D,Male,,,"array([2.14007787, 4.77613535])"
126,762,1,D,Male,1.0,2.000000001,"array([2.16714848, 4.77263431])"
127,778,1,D,Female,0.666666667,2.000000001,"array([2.13476431, 4.72682145])"
128,768,1,D,Female,1.0,2.000000001,"array([2.15253373, 4.75507924])"
129,812,1,D,Female,,,"array([2.11151492, 4.72217812])"
130,772,1,C,Female,,,"array([2.14570718, 4.68080034])"
131,774,1,C,Male,0.666666667,0.999999999,"array([2.16558698, 4.69396508])"
132,790,1,C,Male,1.0,0.0,"array([2.16741164, 4.68297474])"
133,814,1,C,Male,0.333333333,0.999999999,"array([2.17716719, 4.6842018 ])"
134,882,2,C,Male,0.666666667,0.999999999,"array([2.20431355, 4.81040779])"
135,830,2,A,Female,0.333333333,3.0,"array([2.2717581 , 4.78096792])"
136,829,2,A,Male,,,"array([2.2807886 , 4.80438529])"
137,851,2,D,Male,0.333333333,0.999999999,"array([2.22189738, 4.79516141])"
138,857,2,B,Male,1.0,3.0,"array([2.28967341, 4.74410486])"
139,862,2,D,Female,1.0,3.0,"array([2.23437543, 4.78430223])"
140,871,2,D,Female,0.666666667,3.0,"array([2.24167617, 4.75983171])"
141,874,2,DPMAR,Male,1.0,0.999999999,"array([2.22867567, 4.76231805])"
142,886,2,C,Female,1.0,2.000000001,"array([2.25640279, 4.803378  ])"
143,915,2,C,Female,1.0,0.0,"array([2.24304069, 4.77981497])"
144,928,2,D,Male,0.666666667,2.000000001,"array([2.25627559, 4.7722443 ])"
145,700,1,B,Male,1.0,2.000000001,"array([2.28213811, 4.70055975])"
146,796,1,B,Male,0.333333333,2.000000001,"array([2.29841002, 4.69780707])"
147,794,1,B,Male,0.666666667,0.999999999,"array([2.29138579, 4.68427877])"
148,881,2,A,Male,1.0,0.999999999,"array([2.28237287, 4.76324295])"
149,899,2,A,Male,,,"array([2.29186695, 4.76764444])"
150,901,2,B,Male,0.333333333,0.999999999,"array([2.30179129, 4.75922255])"
151,917,2,C,Male,0.666666667,2.000000001,"array([2.26159834, 4.77824491])"
152,848,2,C,Male,0.666666667,3.0,"array([2.23724261, 4.80699394])"
153,853,2,A,Female,,,"array([2.28170543, 4.7841191 ])"
154,867,2,C,Male,1.0,3.0,"array([2.24108431, 4.7940385 ])"
155,873,2,A,Male,,,"array([2.27896605, 4.8277289 ])"
156,876,2,A,Female,0.666666667,0.999999999,"array([2.22431587, 4.76836822])"
157,896,2,C,Male,1.0,3.0,"array([2.2272464 , 4.81139802])"
158,909,2,A,Male,1.0,3.0,"array([2.29747855, 4.77784082])"
159,919,2,A,Male,0.666666667,0.999999999,"array([2.27391082, 4.76498447])"
160,835,2,DPMAR,Female,0.333333333,0.999999999,"array([2.22683732, 4.77901784])"
161,865,2,B,Male,0.666666667,0.0,"array([2.30356101, 4.76998013])"
162,884,2,D,Male,1.0,2.000000001,"array([2.23242756, 4.79382404])"
163,887,2,DPMAR,Female,0.666666667,2.000000001,"array([2.20207638, 4.79949941])"
164,893,2,B,Female,0.666666667,0.999999999,"array([2.32691273, 4.79259734])"
165,895,2,D,Male,1.0,3.0,"array([2.24883931, 4.79991207])"
166,751,1,C,Female,0.666666667,2.000000001,"array([2.18119961, 4.70438105])"
